record_key,accession,record_source,title,screening_stage,final_decision,exclusion_or_inclusion_reason,analysis_role_if_included,screening_date,audit_stratum,second_pass_rule_check,second_pass_disposition,audit_method,independent_human_confirmation,audit_seed
GSE162166,GSE162166,GEO direct search,"Integratome analysis of adipose tissues reveals abnormal epigenetic regulation of adipogenesis, inflammation, and insulin signaling in obese individuals with type 2 diabetes",title/summary screening,EXCLUDED_TITLE_SUMMARY,Non-bulk or non-expression assay outside the prespecified bulk-transcriptome estimand.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE75685,GSE75685,GEO direct search,Mexican Patients with Breast Cancer,title/summary screening,EXCLUDED_TITLE_SUMMARY,No eligible independent human bulk kidney-tissue DKD-versus-non-DKD contrast after title/summary screening.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE29226,GSE29226,PubMed accession discovery,Global Gene Expression Profiles of Subcutaneous Adipose in Females with Type 2 Diabetes.,title/summary screening,EXCLUDED_TITLE_SUMMARY,Wrong biospecimen or organ; no eligible kidney-tissue bulk contrast.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE211784,GSE211784,GEO direct search,Intracellular Galectin-3 Is a Sensor of Lipopolysaccharide that Promotes Glycolysis through Activating mTORC1,title/summary screening,EXCLUDED_TITLE_SUMMARY,No eligible independent human bulk kidney-tissue DKD-versus-non-DKD contrast after title/summary screening.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE142153,GSE142153,GEO direct search,Human PBMCs: Healthy vs Diabetic nephropathy vs ESRD,title/summary screening,EXCLUDED_TITLE_SUMMARY,No eligible independent human bulk kidney-tissue DKD-versus-non-DKD contrast after title/summary screening.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE220229,GSE220229,GEO direct search,Molecular alterations in GECs and podocytes in response to the key diabetic metabolic triggers HG and MG,title/summary screening,EXCLUDED_TITLE_SUMMARY,No eligible independent human bulk kidney-tissue DKD-versus-non-DKD contrast after title/summary screening.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE266108,GSE266108,GEO direct search,Sodium Butyrate Ameliorates Renal Tubular Lipid Accumulation Through the PP2A-TFEB axis in Diabetic Nephropathy,title/summary screening,EXCLUDED_TITLE_SUMMARY,Wrong biospecimen or organ; no eligible kidney-tissue bulk contrast.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE85569,GSE85569,ArrayExpress E-GEOD record not retrieved by direct GEO query,Genetic Susceptibility to Diabetic Nephropathy is Related to Pro-inflammatory Pathways,title/summary screening,EXCLUDED_TITLE_SUMMARY,No eligible independent human bulk kidney-tissue DKD-versus-non-DKD contrast after title/summary screening.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE310639,GSE310639,GEO direct search,small RNA-seq of Extraceullular Vesicles derived from human immortalized podocytes treated with glucose and RabGTPase silenced,title/summary screening,EXCLUDED_TITLE_SUMMARY,In-vitro or perturbational experiment without an eligible patient kidney-tissue contrast.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE189007,GSE189007,GEO direct search,Gene-expression profiles of whole blood cells from a Han Chinese population with or without Type-2 Diabetes Mellitus or/and its complications in nephropathy and retinopathy,title/summary screening,EXCLUDED_TITLE_SUMMARY,Wrong biospecimen or organ; no eligible kidney-tissue bulk contrast.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE262818,GSE262818,GEO direct search,Molecular mechanisms of Target organ damage in youth with primary hypertension [smallRNA-Seq 1],title/summary screening,EXCLUDED_TITLE_SUMMARY,Wrong biospecimen or organ; no eligible kidney-tissue bulk contrast.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE51599,GSE51599,ArrayExpress E-GEOD record not retrieved by direct GEO query,CTCF/CP190 and ISWI dependent regulation of nucleosome occupancy [MNase-seq],title/summary screening,EXCLUDED_TITLE_SUMMARY,No eligible independent human bulk kidney-tissue DKD-versus-non-DKD contrast after title/summary screening.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE149091,GSE149091,GEO direct search,Conditionally reprogrammed cells from patient-derived xenograft to model neuroendocrine prostate cancer development,title/summary screening,EXCLUDED_TITLE_SUMMARY,In-vitro or perturbational experiment without an eligible patient kidney-tissue contrast.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE217711,GSE217711,GEO direct search,Diabetic Kidney Disease Induces Transcriptome Alterations Associated with Angiogenesis Activity in Human Mesenchymal Stromal Cells [miRNA],title/summary screening,EXCLUDED_TITLE_SUMMARY,Wrong biospecimen or organ; no eligible kidney-tissue bulk contrast.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE243750,GSE243750,GEO direct search,SEX-DEPENDENT APOE4 NEUTROPHIL-MICROGLIA INTERACTIONS DRIVE COGNITIVE IMPAIRMENT IN ALZHEIMER'S DISEASE,title/summary screening,EXCLUDED_TITLE_SUMMARY,No eligible independent human bulk kidney-tissue DKD-versus-non-DKD contrast after title/summary screening.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE268686,GSE268686,GEO direct search,Implant renal injury-responsive cells to supplement erythropoietin and protect kidney,title/summary screening,EXCLUDED_TITLE_SUMMARY,Non-bulk or non-expression assay outside the prespecified bulk-transcriptome estimand.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
