gene_symbol,theme,module,gene_module_membership,gene_significance_for_DKD,is_module_hub_candidate,module_trait_correlation_with_DKD,module_trait_pvalue,direction_concordant,external_fdr_lt_0_05,gse30528_hedges_g,mapped_to_wgcna_top_5000,in_black_module,descriptive_class,interpretation_limit
ID1,TGF_BETA_SIGNALING,turquoise,0.61845308556976,-0.455526555776169,False,-0.550093800089026,4.38296934122209e-06,True,False,-0.6713017042547846,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
SERPINE1,COAGULATION_CASCADE;TGF_BETA_SIGNALING,black,0.739086706082932,0.330050832758614,False,0.51054417915688,2.62610862139044e-05,False,False,-0.2534528189739795,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
THBS1,ECM_REMODELING,red,0.403747438538083,-0.373260436151143,False,-0.834974066934669,6.09302030442395e-17,False,False,0.5935071020133793,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
HIF1A,HYPOXIA,black,0.901655051196873,0.436894315023323,True,0.51054417915688,2.62610862139044e-05,True,False,0.9605862760198396,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
SLC2A1,HYPOXIA,blue,0.0983111540151064,-0.157611646316813,False,-0.61222178676675,1.58062353464139e-07,False,False,0.6154224167991555,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
ENG,ENDOTHELIAL_ACTIVATION,turquoise,0.450546096448205,-0.143198313784202,False,-0.550093800089026,4.38296934122209e-06,True,False,-0.6367801529257868,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
C8G,COMPLEMENT_ACTIVATION,,,,,,,True,False,1.1160612790691553,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CD34,LEUKOCYTE_ADHESION,yellow,0.279044597185767,0.19890350517206,False,0.801674028780617,8.35501823801662e-15,False,False,-0.3959369973261809,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
FGA,COAGULATION_CASCADE,black,0.48083271188385,0.0953540905040509,False,0.51054417915688,2.62610862139044e-05,False,False,-0.0260983318430687,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
FGB,COAGULATION_CASCADE,black,0.227464119994081,0.0733100224606007,False,0.51054417915688,2.62610862139044e-05,True,False,0.4917857226510445,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CXCL8,MACROPHAGE_RECRUITMENT,,,,,,,False,False,0.0640725535397545,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
ESAM,ENDOTHELIAL_ACTIVATION;LEUKOCYTE_ADHESION,,,,,,,False,False,,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
C5AR1,COMPLEMENT_ACTIVATION,pink,0.782973921536446,-0.475422028439897,False,-0.823716246433432,3.60649763482444e-16,True,False,-0.3524687597215758,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CXCL9,MACROPHAGE_RECRUITMENT,turquoise,0.329212232698907,-0.190727890241056,False,-0.550093800089026,4.38296934122209e-06,False,False,0.3893289004641225,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
TGFBR1,TGF_BETA_SIGNALING,,,,,,,True,False,1.05851025183942,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CCL20,MACROPHAGE_RECRUITMENT,black,0.498374481291791,0.0202492019416593,False,0.51054417915688,2.62610862139044e-05,False,False,0.0605309768154479,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
SELE,ENDOTHELIAL_ACTIVATION;LEUKOCYTE_ADHESION,yellow,0.182078772663514,0.205272156642046,False,0.801674028780617,8.35501823801662e-15,True,False,0.6443553017551872,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
PDGFB,FIBROSIS,,,,,,,True,False,1.2050621419979903,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
LGALS3,MACROPHAGE_RECRUITMENT,black,0.783653700521347,0.281125604168948,False,0.51054417915688,2.62610862139044e-05,True,False,1.0532525114202749,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
ANGPT2,ENDOTHELIAL_ACTIVATION,black,0.736410348534562,0.643038552199925,False,0.51054417915688,2.62610862139044e-05,True,False,0.7324920220054266,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
SKIL,TGF_BETA_SIGNALING,yellow,0.698137991056857,0.757883115355773,False,0.801674028780617,8.35501823801662e-15,False,False,-0.5406521708438704,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
EPAS1,HYPOXIA,turquoise,0.729592889413469,-0.351602166218571,False,-0.550093800089026,4.38296934122209e-06,True,False,-0.9121718345282028,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
F12,COAGULATION_CASCADE,,,,,,,False,True,1.667632628834449,False,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
SMAD3,TGF_BETA_SIGNALING,,,,,,,True,False,1.0252705818661785,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
PDGFA,FIBROSIS,,,,,,,True,False,-0.7330120065204737,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
C2,COMPLEMENT_ACTIVATION,black,0.704173334208849,0.175954946677258,False,0.51054417915688,2.62610862139044e-05,False,True,1.699688379223627,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
C4A,COMPLEMENT_ACTIVATION,,,,,,,False,False,0.9279328477511996,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
C4B,COMPLEMENT_ACTIVATION,black,0.114263134667428,0.142103136614674,False,0.51054417915688,2.62610862139044e-05,True,False,,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
C8A,COMPLEMENT_ACTIVATION,,,,,,,False,False,0.9514534421309196,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
C8B,COMPLEMENT_ACTIVATION,,,,,,,False,False,-0.0076810252518982,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
C9,COMPLEMENT_ACTIVATION,,,,,,,False,False,0.0016557081415916,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CA9,HYPOXIA,,,,,,,False,False,-0.1719086357428356,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CCL7,MACROPHAGE_RECRUITMENT,,,,,,,False,False,-0.1034206212512299,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CXCL11,MACROPHAGE_RECRUITMENT,greenyellow,0.299845135375776,0.195079482927224,False,0.1521304490985,0.241830622292041,False,False,0.0811812297142543,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
F2,COAGULATION_CASCADE,,,,,,,False,False,0.2207636285267387,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
