accession,title,summary,organism,gds_type,n_samples,already_in_primary_geo_union,priority_screen
GSE183276,An atlas of healthy and injured cell states and niches in the human kidney [scCv3],"Understanding kidney disease relies upon defining the complexity of cell types and states, their associated molecular profiles, and interactions within tissue neighborhoods. We applied multiple single-cell or -nucleus assays (>400,000 nuclei/cells) and spatial imaging technologies to a broad spectrum of healthy reference (45 donors) and diseased (48 patients) kidneys. This has provided a high resolution cellular atlas of 51 main cell types that include rare and novel cell populations. The multi-omic approach provides detailed transcriptomic profiles, epigenomic regulatory factors, and spatial localizations spanning the entire kidney. We further define 28 cellular states across nephron segments and interstitium that were altered in kidney injury, encompassing cycling, adaptive or maladaptive repair, transitioning and degenerative states. Molecular signatures permitted localization of these states within injury neighborhoods using spatial transcriptomics, while large-scale 3D imaging analysis (~1.2 million neighborhoods) provided corresponding linkages to active immune responses. These analyses defined biological pathways relevant to injury time-course and niches, including signatures underlying epithelial repair that predicted maladaptive states associated with a decline in kidney function. This integrated multimodal spatial cell atlas of healthy and diseased human kidneys represents the most comprehensive benchmark of cellular states, neighborhoods, outcome-associated signatures, and publicly available interactive visualizations.   ",Homo sapiens,Expression profiling by high throughput sequencing,49,True,False
GSE184836,RNA-Seq of kidney glomeruli and renal tubules from Type 2 diabetic (db/db) and non-diabetic mice,"We investigated the gene expression profiles of RNA isolated from kidney glomeruli and renal tubules from aged, 24 week old type-2 diabetic (db/db) and non-diabetic mice",Mus musculus,Expression profiling by high throughput sequencing,12,False,False
GSE185948,Single Cell Transcriptional and Chromatin Accessibility Profiling on the human adult kidneys with autosomal dominant polycystic kidney disease,"We performed single nucleus ATAC (snATAC-seq) and RNA (snRNA-seq) sequencing to generate paired, cell-type-specific chromatin accessibility and transcriptional profiles of the adult human kidney with autosomal dominant polycystic kidney disease.  snATAC-seq on 5 samples (control1/2/3/4/5) were already done and deposited on GSE151302 as Healthy1-5 (GSM4572187-4572191, respectively)",Homo sapiens,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,26,False,False
GSE189007,Gene-expression profiles of whole blood cells from a Han Chinese population with or without Type-2 Diabetes Mellitus or/and its complications in nephropathy and retinopathy,This SuperSeries is composed of the SubSeries listed below.,synthetic construct; Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,130,True,False
GSE195460,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,"Purpose: Single cell sequencing has advanced our understanding of kidney biology. The goals of this study are to compare single nucleus RNA (snRNA-seq) and single nucleus assay for transposase accessible chromatin sequencing (snATAC-seq) from healthy control donors and donors with type 2 diabetic kidney disease to identify altered signaling pathways and chromatin accessibility patterns observed in diabetic kidney disease.  Methods: Nuclear dissociation of human kidney cortex samples was performed on samples obtained from patients undergoing tumor nephrectromy or deceased organ donors. snRNA-seq and snATAC-seq libraries were prepared using 10X Genomics kits according to manufacturers instructions. For this study, two healthy control libraries from one donor were prepared with the following chemistries (1 - single cell 3-prime v3, 1 - single cell ATAC v1) and nine DKD libraries from seven donors were prepared with the following chemistries (2 - single cell 5-prime v2 paired-end, 7 - single cell ATAC v1).   Raw data for three healthy control and three DKD snRNA-seq libraries sequenced with single nucleus 5-prime R2 only can be found in GSE13188213. Raw data for two healthy control snRNA-seq sequenced with single nucleus 5-prime paired-end and five snATAC-seq single nucleus ATAC v1 libraries can be found in GSE151302. snRNA-seq and snATAC-seq libraries from these earlier studies were recounted with cellranger (v4.0) or cellranger-atac (v2.0) to provide consistency across processed data files.",Homo sapiens,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,11,True,True
GSE198983,Progerin triggers a phenotypic switch  in VSMC that causes replication stress and an aging-associated secretory signature,"Hutchinson Gilford Progeria Syndrome is a premature aging disease caused by LMNA gene mutation and the production of a truncated lamin A protein “progerin” that elicits cellular and organismal toxicity. Progerin accumulates in the vasculature, being especially toxic for vascular smooth muscle cells (VSMC). Patients' autopsies show that vessel stiffening, and aortic atherosclerosis is accompanied by VSMC depletion in the medial layer, altered extracellular matrix (ECM), and thickening of the adventitial layer. Mechanisms whereby progerin causes massive VSMC loss and vessel alterations remain poorly understood. Mature VSMC retain phenotypic plasticity and can switch to a synthetic/proliferative phenotype. Here we show that progerin expression in human and mouse VSMC causes a switch towards the synthetic/proliferative phenotype. This switch elicits some level of replication stress in normal cells, which is exacerbated in the presence of progerin, leading to telomere fragility, genomic instability, and ultimately VSMC death. Importantly, calcitriol prevents replication stress, telomere fragility, and genomic instability, reducing VSMC death. In addition, RNAseq analysis shows induction of a profibrotic and proinflammatory aging-associated secretory phenotype upon progerin expression in human primary VSMC. Our data suggest that phenotypic switch-induced replication stress might be an underlying cause of VSMC loss in progeria, which together with loss of contractile features and gain of profibrotic and proinflammatory signatures contribute to vascular stiffness in HGPS. Preventing the phenotypic switch-induced replication stress with compounds such as calcitriol might ameliorate CVD in HGPS patients",Homo sapiens,Expression profiling by high throughput sequencing,8,False,False
GSE199838,RNAs sequencing revealing the gene expression profiling in kidney tissues between diabetic kidney disease and control,"Diabetic kidney disease (DKD), a progressive kidney disease, is a major complication associated with diabetes and has become the leading cause of chronic kidney disease in China. Increasing evidences have demonstrated that lncRNAs play vital roles in kidney diseases, including DKD. To search for new ncRNAs involved in DKD, we performed gene expression profiling in the kidney tissues isolated from DKD patients and non-diabetic renal cancer patients undergoing surgical resection by RNA sequencing. And we identified 65 DEncRNAs (29 upregulated and 36 downregulated in DKD) and 171 DEmRNAs (72 upregulated and 99 downregulated in DKD).This study will provide insights into the prevent and treatment of DKD in the future.",Homo sapiens,Expression profiling by high throughput sequencing,6,True,False
GSE209781,A single-cell transcriptomic atlas characterizes the kidney in the diabetic kidney disease,"Diabetic kidney disease (DKD), a common and devastating microvascular complication of diabetes, is the leading cause of end-stage renal disease (ESRD). Since mechanisms of kidney injury in DKD were largely unknown, we performed single-cell RNA sequencing (scRNA-seq) on human kidneys collected from 3 DKD and 3 normal samples using 10×Genomics. In our study, a total of 51315 cells were enrolled for analyses and nine kidney cell types and seven immune cell types were identified. The cell-type-specific changes in gene expression and signaling pathways of podocyte, mesangial cells, endothelial cells, proximal tubule and macrophages indicate abnormal regulation associated with inflammation, apoptosis, oxidative stress, extracelluar matrix accumulation, and immune activation. In particular, we show that podocytes and renal tubular epithelial cells have a tremendous capacity to regenerate, which is involved in the repairment of injury. And extracellular vesicles, an important mediator of intercellular communication, might play a vital role for this progress. Besides, we identified new candidate transcription factors responsible for the progression of DKD. We also revealed a M1-M2 hybrid pattern, in which M1 and M2 are coupled activation in macrophages of DKD. Furthermore, we demonstrated a complex intercellular interaction between kidney cells and kidney cells or kidney cells and immune cells. Thus, our study will further the understanding of DKD pathogenesis and provide novel therapeutic targets for its treatment in the future.",Homo sapiens,Expression profiling by high throughput sequencing,6,True,True
GSE220226,Transcriptomic analysis of glomerular endothelial cells and podocytes exposed to methylglyoxal in co-culture,"In diabetic nephropathy (DN), glomerular endothelial cells (GECs) and podocytes undergo pathological alterations, which are influenced by metabolic changes characteristic of diabetes, including hyperglycaemia (HG) and elevated methylglyoxal (MGO) levels. However, it remains insufficiently understood what effects these metabolic factors have on GEC and podocytes and to what extent the interactions between the two cell types can modulate these effects. To address these questions, we established a co-culture system in which GECs and podocytes were grown together in close proximity, and assessed transcriptional changes in each cell type after exposure to HG and MGO. We found that HG and MGO had distinct effects on gene expression and that the effect of each treatment was markedly different between GECs and podocytes. HG treatment led to upregulation of “immediate early response” genes, particularly those of the EGR family, as well as genes involved in inflammatory responses (in GECs) or DNA replication/cell cycle (in podocytes). Interestingly, both HG and MGO led to downregulation of genes related to extracellular matrix organisation in podocytes. Crucially, the transcriptional responses of GECs and podocytes were dependent on their interaction with each other, as many of the prominently regulated genes in co-culture of the two cell types were not significantly changed when monocultures of the cells were exposed to the same stimuli. Finally, the changes in the expression of selected genes were validated in BTBR ob/ob mice, an established model of DN. This work highlights the molecular alterations in GECs and podocytes in response to the key diabetic metabolic triggers HG and MGO, as well as the central role of GEC-podocyte crosstalk in governing these responses.",Homo sapiens,Expression profiling by high throughput sequencing,16,True,False
GSE228727,Dapagliflozin alleviates diabetic kidney disease via HIF1α/HO1 mediated ferroptosis,"To investigate the mechanism of the renal protective effects of SGLT2i in diabetic nephropathy, we treated 9-week db/db mice with dapagliflozin and solvent, respectively. This study used m/m mice as control group.We performed gene expression profiling analysis using data obtained from RNA-seq of 3 different groups of mice after 13-week treatment.",Mus musculus,Expression profiling by high throughput sequencing,15,False,False
GSE264268,Molecular mechanisms of kidney injury in diabetic mice based on single-cell sequencing techniques,To investigate the pathogenic molecular mechanisms and signaling pathways of early diabetic kidney disease. We performed single-cell RNA sequencing on kidney tissue of early type 1 diabetic mice.,Mus musculus,Expression profiling by high throughput sequencing,3,False,False
